Store,Core SKUs Availability,Shelf Space,Total Energy Drink Shelf Space,Comp#1 Shelf Space,Brand Visibility Condition,Brand Messaging Score,Price Comm Condition Score,Ambient Placement Condition Additional,Ambient Placements Additional,Comp#1 Placement Ambient  Additional,Chilled Placement Additional,Comp#1 Placement Chilled  Additional,Cashier Placement Cooler Condition,Cashier Coolers With SKU Available,Cashier Coolers With Comp#1 Available,Shelf Space Condition,POS Communication Condition,Available Placements Types In Store,Energy Shelf Space Share,Chilled Cashier Placement,Main Competitor SKU,Ambient Placement Additional ,Buying Group,Key Account,Distributor,Sales Gross,Sales Net,Actual Service Frequency,Volume 12pck,Volume 4pck,Volume 6pck,Volume Single,Volume,SKU Distribution
1003199500,100,5,12,3.5,100,100,100,0,0,0,0,1,100,1,0,100,100,2,43.5,1,26,0,780004,784104,5904,1822,1710,2,,1,,119,120,15
1003199954,100,6,18,5,100,0,100,100,1,1,0,0,100,1,0,86.6,62.5,3,33.3,1,25,1,780004,781171,5937,485,476,2,,,,79,79,15
1003200275,86.7,5,16,5.3,100,100,100,100,1,0,0,0,0,0,0,82.6,100,2,31.3,0,15,1,788371,780008,5901,7271,7007,5,,,,430,430,13
1003200395,100,5,16,4,100,100,100,100,1,0,0,0,0,0,0,82.6,100,2,31.3,0,19,1,788371,780008,5937,4954,4795,5,,,,285,285,15
1003201144,86.7,5,17,3.5,100,0,100,0,0,0,0,0,0,0,0,79.1,62.5,1,29.4,0,26,0,788371,780008,5901,3905,3766,4,,2,,310,312,15
1003201283,93.3,7,16,5.5,100,100,100,100,2,0,1,1,0,0,0,100,100,3,43.8,0,24,1,780004,784104,5938,2420,2187,4,,4,,250,253,15
1003201404,80,5,17,4.3,100,0,0,0,0,1,0,0,0,0,0,80.8,37.5,1,30.3,0,28,0,788371,780008,5938,6889,6661,4,,-2,,448,446,14
1003201622,100,5,19,5,50,0,100,0,0,0,1,0,0,0,0,73.2,43.8,2,26.3,0,19,0,788371,780008,5937,2087,2006,4,,,,163,163,12
1003201892,100,6,17,5.8,100,100,100,0,0,0,0,0,0,0,0,90.4,100,1,35.3,0,25,0,780004,781171,5938,1126,1103,3,,,,99,99,15
1003201979,86.7,4.5,18,3.5,0,0,100,0,0,0,1,0,0,0,0,70.7,25,2,25,0,22,0,788371,780008,5908,3760,3628,4,,,,333,333,13
1003202548,73.3,7,16,3.5,100,66.7,100,100,1,0,0,0,100,1,0,100,87.5,3,43.8,1,20,1,786531,786532,5908,786,700,1,,1,,68,69,14
1003202870,100,6,15,4.5,100,0,100,0,0,0,0,0,0,0,0,99.4,62.5,1,40,0,24,0,788371,780217,5908,721,697,1,4,2,1,54,61,14
1003203075,100,7,23,6,0,0,100,0,0,1,0,0,0,0,1,80.5,25,1,30.1,0,29,0,788371,780008,5908,1700,1638,4,,,,142,142,15
1003204697,100,5,16,3.3,100,0,100,0,0,0,1,0,0,0,0,84.6,62.5,2,32.3,0,16,0,786531,786532,5938,3889,3486,3,,8,,218,226,15
1003206829,73.3,5,13,3.3,100,0,100,100,1,0,1,0,0,0,0,96.5,62.5,3,38.5,0,21,1,786531,786532,5901,1597,1415,2,,3,,102,105,15
1003208572,100,5,5,0,75,50,100,100,1,0,1,0,100,1,1,100,71.9,4,100,1,1,1,786531,786532,5937,1684,1491,2,,4,,105,109,14
1003212235,100,4.5,13,4,25,25,100,100,3,1,1,0,100,1,1,91.8,43.8,4,36,1,28,1,788371,780217,5908,2018,1946,3,,,5,147,152,15
1003216274,100,5,5,0,100,66.7,100,100,2,0,0,0,100,1,1,100,87.5,3,100,1,0,1,786531,786532,5908,1063,946,1,,1,,77,78,10
1003222203,93.3,6,17,5,50,0,100,0,0,0,0,0,100,1,1,90.4,43.8,2,35.3,1,26,0,788371,780008,5937,4764,4595,4,,1,,305,306,15
1003224028,100,5,11,2,100,0,100,0,0,0,0,0,100,1,0,100,62.5,2,47.6,1,8,0,780004,784104,5901,1050,975,2,,5,,47,52,14
1003227987,86.7,5.5,14,4.8,100,100,0,0,0,1,0,0,100,1,0,99.4,75,2,40,1,22,0,788371,780217,5901,5050,4875,4,3,,9,338,350,15
1003228616,100,8,17,6,66.7,33.3,100,100,1,0,0,0,100,1,1,100,62.5,3,47.1,1,38,1,786531,786532,5937,606,514,3,,2,,54,56,14
1003230956,60,6,13,3.5,100,33.3,100,100,2,1,1,1,0,0,0,100,75,3,46.2,0,27,1,786531,786532,5908,1362,1204,2,,2,,88,90,13
1003232339,86.7,5,9,1.8,100,50,100,0,0,0,1,0,0,0,0,100,81.3,2,55.6,0,12,0,786531,786532,5904,2226,1968,4,,3,,189,192,15
1003234462,100,8,17,4,66.7,100,100,100,1,0,2,1,0,0,0,100,87.5,3,47.1,0,18,1,786531,786532,5908,417,362,1,,2,,62,64,15
1003235060,100,5.8,16,4,100,100,100,100,2,1,1,0,0,0,0,91.6,100,3,35.9,0,22,1,780004,784104,5937,1569,1485,2,,1,,129,130,15
1003239916,93.3,6,18,4.8,100,0,100,0,0,0,0,0,0,0,0,86.6,62.5,1,33.3,0,27,0,788371,780008,5908,4648,4480,4,,,,324,324,15
1003239934,100,6,14,2.5,100,0,100,0,0,0,0,0,0,0,0,100,62.5,1,44.4,0,13,0,788371,780217,5937,2683,2585,5,,,,187,187,15
1003246649,100,5,9,0,66.7,0,100,100,1,0,0,1,100,1,0,100,50,3,55.6,1,0,1,786531,786532,5904,1063,940,4,,2,,90,92,14
1003250905,100,6,15,3.5,50,50,0,100,1,1,0,0,0,0,0,99.4,37.5,2,40,0,22,1,788371,780217,5901,1897,1830,4,,,4,176,180,15
1003253070,100,4,16,6.5,100,100,100,100,1,0,2,1,100,1,0,70.7,100,4,25,1,28,1,786531,786532,5904,3064,2770,4,,10,,183,193,15
1003254438,73.3,5,16,5,100,100,100,0,0,0,0,0,0,0,0,82.6,100,1,31.3,0,19,0,786531,786532,5901,1594,1497,2,,2,,49,51,11
1003262638,86.7,8.3,20,4.5,100,50,100,0,0,0,0,0,100,1,0,100,81.3,2,41.8,1,34,0,786531,786532,5901,411,380,2,,,1,44,45,13
1003263836,100,9,18,3,75,25,100,100,1,1,1,0,100,1,1,100,62.5,4,50,1,18,1,786531,786532,5901,850,753,1,,2,,75,77,15
1003264023,100,5,11,2.8,100,50,0,0,0,0,0,0,100,1,0,100,56.3,2,45.5,1,8,0,780004,781106,5937,1833,1794,3,,6,7,157,170,15
1003267960,100,7,24,6,100,50,100,0,0,1,0,0,100,1,1,78.7,81.3,2,29.2,1,30,0,788371,780008,5901,2341,2255,3,,6,1,173,180,15
1003269262,53.3,5,5,0,50,0,100,0,0,0,1,1,0,0,0,100,43.8,2,100,0,1,0,786531,786532,5901,492,444,1,,,,27,27,15
1003270900,93.3,8,23,7.3,33.3,33.3,100,100,2,1,0,0,100,1,1,89.4,50,3,34.8,1,29,1,780004,781171,5901,2409,2369,3,,2,,224,226,15
1003273278,100,8,19,5.3,100,100,100,100,1,0,0,0,100,1,1,100,100,3,42.1,1,20,1,786531,786532,5901,1395,1239,4,,6,,99,105,15
1003275523,100,8,23,7.3,66.7,33.3,100,100,1,1,1,0,0,0,0,89.4,62.5,3,34.8,0,31,1,780004,781171,5908,2815,2762,4,,4,,235,239,15
1003279409,86.7,5,17,4.3,100,0,0,0,0,0,0,0,0,0,0,80.8,37.5,1,30.3,0,22,0,788371,780008,5904,2026,1950,4,,,,114,114,15
1003288804,80,4,13,3.3,100,100,100,0,0,0,0,0,0,0,0,84.1,100,1,32,0,21,0,780004,784104,5901,1793,1761,2,,1,,120,121,14
1003288925,100,7,11,2,100,100,100,0,0,0,0,0,100,1,0,100,100,2,66.7,1,15,0,786531,786532,5901,1564,1387,4,,5,,141,146,15
1003289199,93.3,5,19,7,100,66.7,100,100,1,0,1,0,0,0,1,73.2,87.5,3,26.3,0,27,1,786531,786532,5904,998,884,1,,2,,90,92,14
1003289551,100,6,14,4.3,50,0,0,0,0,0,0,0,100,1,1,100,18.8,2,43.6,1,22,0,786531,786532,5904,857,753,1,,2,,56,58,14
1003306416,100,7,29,6,100,100,100,0,0,1,0,0,0,0,0,69,100,1,24.1,0,38,0,788371,780008,5938,4990,4821,4,,,,259,259,15
1003310934,86.7,7,22,7,100,100,100,0,0,0,0,0,100,1,1,83.7,100,2,31.8,1,28,0,788371,780008,5901,2570,2477,4,,1,2,227,230,15
1003314927,93.3,7,16,4.5,100,0,100,0,0,0,0,0,0,0,0,100,62.5,1,45.2,0,22,0,788371,780217,5908,999,964,2,,,6,60,66,14
1003319757,60,4,13,3.5,100,0,100,0,0,0,0,0,0,0,0,82.9,62.5,1,31.4,0,18,0,780004,784104,5938,1839,1740,4,,4,,123,127,10
1003321453,100,6,25,7.8,100,25,100,100,2,0,1,0,100,1,0,68.7,71.9,4,24,1,32,1,786531,786532,5901,1872,1633,2,,1,,107,108,15
1003322730,100,6,11,0,100,66.7,100,100,1,0,0,0,100,2,1,100,87.5,3,55.8,1,1,1,786531,786532,5904,1409,1240,3,,6,,125,130,15
1003325033,100,7,9,0.3,100,66.7,100,100,1,0,0,0,100,1,0,100,87.5,3,75.7,1,4,1,786531,786532,5904,3771,3308,4,,11,,269,280,15
